county_id,ideb_score,ideb_publication_year,ideb_score_status
1101708,5.7,2013,Observado
1101708,5.6,2015,Observado
1101708,6,2017,Observado
1101708,5.7,2019,Observado
1101757,3.3,2007,Projetado
1101757,3.6,2009,Projetado
1101757,4.1,2011,Projetado
1101757,4.3,2013,Projetado
1101757,4.6,2015,Projetado
1101757,4.9,2017,Projetado
1101757,5.2,2019,Projetado
1101757,5.5,2021,Projetado
1101757,3.2,2005,Observado
1101757,3.5,2007,Observado
1101757,4.2,2009,Observado
1101757,4.3,2011,Observado
1101757,5.1,2013,Observado
1101757,5.1,2015,Observado
1101757,5.8,2017,Observado
1101757,5,2019,Observado
1101807,3.6,2007,Projetado
1101807,3.9,2009,Projetado
1101807,4.3,2011,Projetado
1101807,4.6,2013,Projetado
1101807,4.9,2015,Projetado
1101807,5.2,2017,Projetado
1101807,5.5,2019,Projetado
1101807,5.7,2021,Projetado
1101807,3.5,2005,Observado
1101807,3.9,2007,Observado
1101807,4.2,2009,Observado
1101807,4.6,2011,Observado
1101807,5.5,2013,Observado
1101807,4.9,2015,Observado
1101807,5.1,2017,Observado
1101807,4.7,2019,Observado
1200013,2.9,2007,Projetado
1200013,3.2,2009,Projetado
1200013,3.6,2011,Projetado
1200013,3.9,2013,Projetado
1200013,4.2,2015,Projetado
1200013,4.5,2017,Projetado
1200013,4.8,2019,Projetado
1200013,5.1,2021,Projetado
1200013,2.8,2005,Observado
1200013,3.1,2007,Observado
1200013,3.7,2009,Observado
1200013,4.4,2011,Observado
1200013,4.8,2013,Observado
1200013,5,2015,Observado
1200013,5.4,2017,Observado
1200013,5.6,2019,Observado
1200054,2.6,2007,Projetado
1200054,3,2009,Projetado
1200054,3.4,2011,Projetado
1200054,3.7,2013,Projetado
1200054,4,2015,Projetado
1200054,4.3,2017,Projetado
1200054,4.6,2019,Projetado
1200054,4.9,2021,Projetado
1200054,2.6,2005,Observado
1200054,2.7,2007,Observado
1200054,3.2,2009,Observado
1200054,4.2,2011,Observado
1200054,4.2,2013,Observado
1200054,4.2,2015,Observado
1200054,4.3,2017,Observado
1200054,4.9,2019,Observado
1200104,3.3,2007,Projetado
1200104,3.6,2009,Projetado
1200104,4.1,2011,Projetado
1200104,4.3,2013,Projetado
1200104,4.6,2015,Projetado
1200104,4.9,2017,Projetado
1200104,5.2,2019,Projetado
1200104,5.5,2021,Projetado
1200104,3.2,2005,Observado
1200104,3.8,2007,Observado
1200104,4.8,2009,Observado
1200104,5.3,2011,Observado
1200104,5.6,2013,Observado
1200104,5.8,2015,Observado
1200104,6.4,2017,Observado
